query_id,doc_id,score
14,123i465d,1.0
14,1s2zsqoq,0.0
14,6vmfa6qx,0.0
14,7ihtyiox,2.0
14,7zme0kxy,1.0
14,99ttewb5,0.0
14,azpz6e7q,1.0
14,bf79lj4f,0.0
14,cn1z7aen,1.0
14,g1k3zlax,0.0
14,4w7hx4ou,0.0
14,k2djlq01,1.0
14,r141na6j,0.0
14,rz9cwhm3,0.0
14,esfbdz2v,0.0
14,szsb1oan,0.0
14,to9awvi9,0.0
14,u8i3kbl4,0.0
14,vx2t7jgu,0.0
14,myqli11j,0.0
14,xetzg7gp,0.0
14,xwqxji63,2.0
18,0mcixa4c,0.0
18,1152vpv5,0.0
18,1s2zsqoq,0.0
18,28utunid,2.0
18,2ikxxaec,2.0
18,397m2zpp,1.0
18,3faqvwoo,0.0
18,3tfp9hug,0.0
18,6donibpz,1.0
18,6ge2ihcs,2.0
18,7el8o6qq,1.0
18,99ttewb5,0.0
18,a49yg45g,1.0
18,b7yhjsq4,1.0
18,btj4ckkz,1.0
18,code9hzz,0.0
18,e790rxq9,2.0
18,ei0qno68,1.0
18,gocycb7u,2.0
18,nrb9r9g4,1.0
18,ntfa1tcs,2.0
18,p2ufydgs,1.0
18,p70ocrmc,2.0
18,rt7gqiev,0.0
18,h9yxf0lr,0.0
18,szsb1oan,0.0
18,vwu27sw2,2.0
18,wivzfv6t,0.0
18,y43prnko,1.0
20,2eqrk42b,1.0
20,cxrqww06,0.0
20,6wsy33bv,1.0
20,7fq9culd,2.0
20,bu7j7kdr,1.0
20,dabvq226,1.0
20,f3pdbv1g,2.0
20,fskfnmig,2.0
20,ggx4v0bz,2.0
20,h1kuzit7,0.0
20,hui5jaiu,0.0
20,mw7athol,0.0
20,npob20n0,2.0
20,q068aybo,0.0
20,u8i3kbl4,1.0
20,ui8iilhy,0.0
20,ybr2ij5b,2.0
20,z82u8dik,2.0
26,1s2zsqoq,0.0
26,2ioap802,2.0
26,4qlwf00l,2.0
26,cxrqww06,0.0
26,51b7oh8s,0.0
26,5bmdzgla,0.0
26,5r0ubg5g,2.0
26,6vmfa6qx,2.0
26,7zme0kxy,0.0
26,8r8j0h08,0.0
26,g2285g5z,2.0
26,gwx0ay20,1.0
26,opra4r47,2.0
26,isjacgq1,2.0
26,j9x715rz,1.0
26,jyimgh44,0.0
26,k8q11s9b,2.0
26,kezdsyzt,0.0
26,kjjlxdpp,2.0
26,klliuizs,1.0
26,ct67dmgg,2.0
26,nzh87aux,0.0
26,q068aybo,0.0
26,rvo73h2l,2.0
26,szsb1oan,0.0
26,tr7bmni3,0.0
26,u17s0j4c,2.0
26,vtlz9xid,0.0
26,zjv6gmul,0.0
27,0haf57l1,2.0
27,1s2zsqoq,0.0
27,28utunid,1.0
27,2ioap802,0.0
27,635cq3z9,0.0
27,6vmfa6qx,0.0
27,7ihtyiox,1.0
27,7whskpy0,1.0
27,8l7zukg4,1.0
27,9rkfo0fj,2.0
27,ajlpb9li,1.0
27,azpz6e7q,1.0
27,b316muwc,0.0
27,coftgksc,1.0
27,cw37jrt2,1.0
27,eiobmxp2,0.0
27,eoxrh2sl,2.0
27,og30u2y1,0.0
27,ewhswgbm,0.0
27,fn9b7adi,0.0
27,g1k3zlax,1.0
27,h93g5hvf,1.0
27,it4ka7v0,2.0
27,jlop0lui,0.0
27,5gwqiotz,1.0
27,klliuizs,2.0
27,lffsogc9,0.0
27,myqli11j,1.0
27,ozxcv68x,1.0
27,q068aybo,0.0
27,szsb1oan,0.0
27,u8i3kbl4,0.0
27,wivzfv6t,2.0
27,ytecgayg,1.0
31,0htu9ap2,0.0
31,112d3o6w,0.0
31,14n4szd1,2.0
31,5dfg0f5d,1.0
31,2ioap802,2.0
31,56lhovmz,0.0
31,7xkj27ph,0.0
31,8ies5d32,0.0
31,bn2loscc,0.0
31,c3ha5cax,0.0
31,eoxrh2sl,0.0
31,g1k3zlax,1.0
31,ghkz8bt6,0.0
31,hodykbcb,0.0
31,iwtevhmq,0.0
31,jjtsd4n3,0.0
31,ju44hwt6,0.0
31,kpckcyp6,0.0
31,l95w54by,1.0
31,mm8en4os,0.0
31,nb9el3re,0.0
31,o1w5jqkv,0.0
31,obadq502,2.0
31,ph15z424,0.0
31,q068aybo,0.0
31,q9t6yv6r,0.0
31,szsb1oan,0.0
31,t3asnzje,0.0
31,to9awvi9,1.0
31,u1i5onqr,0.0
31,who0xdyz,0.0
31,y4zpl1ji,0.0
33,0rbgbsj8,0.0
33,1s2zsqoq,0.0
33,25hxhv6m,1.0
33,25t4p4n8,0.0
33,413yt99x,1.0
33,51b7oh8s,2.0
33,13z63d4y,2.0
33,9s4i2nuh,0.0
33,dew2ig0q,0.0
33,eq2ahtlc,2.0
33,dv1g8jz7,0.0
33,f0xsisdg,1.0
33,f2iuy9e1,0.0
33,j060e7de,0.0
33,5gwqiotz,0.0
33,o8bkorjn,2.0
33,ozdwkkqn,2.0
33,q068aybo,0.0
33,szsb1oan,0.0
33,ua0ikrt1,2.0
33,xw3n0fhi,0.0
33,xxypq3wd,0.0
33,8wbal6fq,0.0
40,1s2zsqoq,0.0
40,2ok1owv7,2.0
40,5m50ql15,0.0
40,6baa5it4,0.0
40,7ddukj9b,2.0
40,7zme0kxy,1.0
40,8lbznr71,2.0
40,8xck5832,1.0
40,aaht8rq0,0.0
40,any83elf,0.0
40,ea78sjcs,2.0
40,eztw9tx6,0.0
40,j1370ljf,2.0
40,aj9p4g7y,1.0
40,kbt5gdyy,1.0
40,obes9kjl,0.0
40,om92cx5q,0.0
40,phby6ouv,0.0
40,rucvvyf9,0.0
40,q85u5v8s,1.0
40,r3t4bd78,2.0
40,ratbgibg,0.0
40,srgi9jc6,2.0
40,uhru7rn8,2.0
40,xetzg7gp,1.0
40,zsx7wfyj,1.0
46,51b7oh8s,0.0
46,6z9e5gi6,0.0
46,8r8j0h08,0.0
46,j7mcry3l,0.0
46,kqf5e9fe,1.0
46,mm8en4os,0.0
46,rml2z32n,1.0
46,osolval7,0.0
46,rd9uq6tc,0.0
46,v7uwpcb1,0.0
49,08p8ns2d,0.0
49,3kmxzbm7,0.0
49,3dlsbr7c,0.0
49,4ffuivil,0.0
49,5hx84kki,0.0
49,a4gddqw8,0.0
49,a77g9rjo,0.0
49,aed6psww,2.0
49,dtveihrj,0.0
49,gq8pusi3,0.0
49,htbgb8r3,0.0
49,isxko583,0.0
49,j060e7de,0.0
49,kbt5gdyy,0.0
49,nost507w,0.0
49,cb0bivnj,0.0
49,osolval7,0.0
49,txdawva5,0.0
49,wf0hlhim,0.0
49,zt5alyy2,0.0
